key,en
label.final_ascension_explanation,Você consegue ascender a torre mais uma vez?
label.fire_magic_explanation,O Astrólogo determinou que a muralha pode ser destruída usando A Orbe com os recursos corretos.
label.go_to_sorcery,Ir para a Feitiçaria (Atalho 8)
label.go_to_spoiler,Ir para ???
label.hover,Passar o mouse sobre
label.less_than_minute,Menos de 1 minuto
label.maxed,No Máximo
label.new_update_description.0_0_3,"O jogo recebeu uma grande atualização! Se você tinha um save anterior, a maior parte do progresso será transferida, mas considere iniciar um novo jogo para experimentar adequadamente alguns dos novos recursos."
label.new_update_description.playtest,"Esta versão tem mais conteúdo desbloqueado além do que a demo fornece. Estou procurando feedback sobre o novo conteúdo. Além disso, existem alguns utilitários no menu 'playtest' que podem ajudá-lo. Divirta-se!"
label.new_update_description.previous_playtest,Parece que você possivelmente já jogou a versão de playtest antes. Note que a versão demo terá menos conteúdo desbloqueado do que a versão de playtest fechada.
label.new_update_description.prototype,"O jogo recebeu uma grande atualização! Se você tinha um save anterior, algum progresso (como pontos de prestígio) será transferido, mas recomendo iniciar um novo jogo porque muitas coisas mudaram e mecânicas foram adicionadas/removidas."
label.not_active,- Inativo
label.points,Pontos:{points}
label.points_earned,Pontos Ganhos:{points}
label.preloaded_saves,Saves Pré-carregados
label.press_and_hold,Pressione e segure
label.prestige_early_explanation,"Faça o prestígio cedo para reiniciar a partida ou reconfigurar suas bênçãos, mas não há um benefício significativo."
label.prestige_exp_explanation,"Quando esta barra estiver cheia, você ganha um ponto de prestígio. - A barra se preenche com base na quantidade de {magic_icon} ganho. - Tempo Estimado: {eta}"
label.prestige_explanation,"Realizar o prestígio reinicia seu progresso, mas permite que você ganhe bênçãos para tornar sua próxima partida melhor."
label.prestige_points_explanation,Pontos de prestígio são usados para ganhar bênçãos.
label.relics,Relíquias Possuídas
label.relics_needed,(precisa de mais {needed})
label.relics_owned,- Você possui {owned}
label.reset_blessings,Você também pode clicar com o botão direito para reembolsar bênçãos individuais.
label.restore_wall,Fazer o Mago da Muralha restaurar/desativar a Muralha Cósmica
label.rune_exp,Progresso da Runa
label.rune_exp_eta,Progresso da Runa - Tempo Estimado: {eta}
label.story_1,"Vejo que você construiu uma bela civilização, mas essa torre não deve ir mais alto."
label.story_2,Esta grande muralha o impedirá de ascender ainda mais.
label.story_3,"Parece que o subestimei. No entanto, você não passará por esta muralha."
label.story_4,"Tudo bem, farei um acordo. Se você conseguir destruir esta muralha, não o impedirei mais."
label.story_5,Estou impressionado com sua determinação. Posso até ficar e ajudar um pouco para ver o resultado final.
label.supervision_blessing,Bênção da Supervisão
label.temple_exp,EXP de Poeira Cósmica
label.temple_exp_explanation,"Progresso de criação de Poeira Cósmica. Quando cheia, você recebe 1 Poeira Cósmica. A barra se preenche com base no dano causado à Muralha Cósmica. - Tempo Estimado: {eta}"
label.thanks_for_playing,Obrigado por jogar!
label.the_end,Fim
label.tower_requirements_explanation,Cumpra os requisitos da torre para ascender a torre para o próximo nível.
label.tower_resource_explanation,Acumule um total vitalício de {cost} {resource}. ({accumulated} acumulado(s) até agora)
label.tower_resource_explanation_balance_blessing,A bênção do equilíbrio está ativa para este recurso
label.unspent_points_warning,Você tem pontos não gastos. Não há vantagem em manter pontos não gastos. É recomendado atribuir todos eles para bênçãos desbloqueáveis (algumas bênçãos podem ter dois pontos).
label.utilities,Utilitários
label.wall_0,Muralha de Nuvens
label.wall_1,Muralha Solar
label.wall_2,Muralha Cósmica
label.wall_explanation,Quebre a muralha acima para ascender a torre.
label.wall_health_bar,A muralha tem {value} de vida restante
nation.arcanis_nation.name,Arcanis
nation.arcanis_nation.description,Nação com uma universidade respeitada - Bônus de relações: Aumenta o ganho de EXP da Academia em {percent_increase}%
nation.axel_nation.name,Axel
nation.axel_nation.description,Reino de aventureiros e vastas planícies - Bônus de relações: Desbloqueia novas melhorias baseadas em Conhecimento para a Feitiçaria e Ninho do Dragão.
nation.ceha_nation.name,Ceha
nation.ceha_nation.description,Terra dos vulcões - Bônus de relações: Guardiões de Dragão fornecem {percent_increase}% a mais de EXP de Dragão
nation.chronara_nation.name,Chronara
nation.chronara_nation.description,Nação oculta que ocasionalmente submerge - Bônus de relações: A cada 2 segundos ganha Acordos Comerciais iguais à sua população de diplomatas.
nation.fel_nation.name,Fel
nation.fel_nation.description,Nação conhecida por magia antiga - Bônus de relações: Aumenta o ganho de EXP da Academia em {percent_increase}%
nation.istesha_nation.name,Istesha
nation.istesha_nation.description,Nação dos dragões - Bônus de relações: Ganha instantaneamente {amount} pontos de habilidade de dragão
nation.janand_nation.name,Janand
nation.janand_nation.description,Nação de prisioneiros e exilados - Bônus de relações: Aumenta o dano de todas as unidades em {percent_increase}%
nation.lapis_nation.name,Lapis
nation.lapis_nation.description,Nação com pilares de pedra e morros - Bônus de relações: Ganha instantaneamente {amount} Cognita.
nation.lilon_nation.name,Lilon
nation.lilon_nation.description,Nação do vento e costas - Bônus de relações: Aumenta o ganho de {magic_icon} das Nuvenzinhas em {percent_increase}%
nation.luscana_nation.name,Luscana
nation.luscana_nation.description,Nação da joalheria - Bônus de relações: Ganha instantaneamente {amount} Pedras de Mana.
nation.maristella_nation.name,Maristella
nation.maristella_nation.description,Nação de comércio e navegação. - Bônus de relações: Aumenta o ganho de {knowledge_icon} em {percent_increase}%
nation.netus_nation.name,Netus
nation.netus_nation.description,Nação de artesãos - Bônus de relações: Desbloqueia novas melhorias baseadas em Conhecimento para a floresta e academia
nation.odantis_nation.name,Odantis
nation.odantis_nation.description,Nação de longos invernos - Bônus de relações: Aumenta o ganho de {knowledge_icon} em {percent_increase}%
nation.peace_land_nation.name,Terra da Paz
nation.peace_land_nation.description,Nação de pequenos humanos e espíritos - Bônus de relações: Ganha instantaneamente {amount} {spirit_icon}.
nation.prismara_nation.name,Prismara
nation.prismara_nation.description,Nação do cristal e mar - Bônus de relações: Aumenta a velocidade de produção de {magic_gold_icon} em {percent_increase}%
nation.starting_nation.name,Sua Nação
nation.starting_nation.description,"Este é o seu domínio. Quando você tiver {trade_agreement_icon} suficiente, clique em uma nação vizinha para estabelecer relações."
nation.tedora_nation.name,Tedora
nation.tedora_nation.description,Nação das Florestas Antigas - Bônus de relações: Aumenta o ganho de {wood_icon} em {percent_increase}%
nation.tempestus_nation.name,Tempestus
nation.tempestus_nation.description,Nação de montanhas e tempestades - Bônus de relações: Aumenta o ganho de {magic_icon} das Nuvenzinhas em {percent_increase}%
nation.tenebris_nation.name,Tenebris
nation.tenebris_nation.description,Nação de vastas cavernas - Bônus de relações: Aumenta a velocidade de produção de {magic_gold_icon} em {percent_increase}%
nation.verdania_nation.name,Verdania
nation.verdania_nation.description,Nação de vastas florestas - Bônus de relações: Aumenta o ganho de {wood_icon} em {percent_increase}%
nation.wedol_nation.name,Wedol
nation.wedol_nation.description,Império da floresta tropical - Bônus de relações: Ganha instantaneamente {amount} totens.
nation.xara_nation.name,Xara
nation.xara_nation.description,Nação do deserto e pedra - Bônus de relações: Ganha instantaneamente {amount} Dragonita.
relic.cognite,Cognita
relic.cognite.tooltip,Cada Cognita aumenta o ganho de {knowledge_icon} em {percent_increase}%
relic.dragonite,Dragonita
relic.dragonite.tooltip,Cada Dragonita aumenta o ganho de EXP do Dragão em {percent_increase}%
relic.holy_grail,Santo Graal
relic.holy_grail.tooltip,Cada Santo Graal aumenta o ganho de {magic_icon} em {magic_increase}% e o ganho de EXP do Dragão em {dragon_exp_increase}%
relic.magic_gold,Ouro Mágico
relic.magic_gold.tooltip,Cada Ouro Mágico aumenta o ganho de {magic_icon} em {percent_increase}%
relic.mana_stone,Pedra de Mana
relic.mana_stone.tooltip,Cada Pedra de Mana aumenta o ganho de {magic_icon} em {percent_increase}%
relic.ouroboros,Ouroboros
relic.ouroboros.tooltip,Cada Ouroboros aumenta o ganho de {knowledge_icon} em {knowledge_increase}% e o ganho de EXP do Dragão em {dragon_exp_increase}%
relic.philosopher_stone,Pedra Filosofal
relic.philosopher_stone.tooltip,Cada Pedra Filosofal aumenta o ganho de {knowledge_icon} em {knowledge_increase}% e o ganho de {magic_icon} em {magic_increase}%
resource.blank_rune,Runa Vazia
resource.blank_rune_description,Criado por Forjadores de Runas
resource.building_points,Pontos de Construção
resource.building_points_description,Toda Ascensão de Torre concede uma quantia fixa.
resource.cognite,Cognita
resource.cosmic_analysis,Análise Cósmica
resource.cosmic_analysis_description,Comprado no Observatório
resource.cosmic_dust,Poeira Cósmica
resource.cosmic_dust_description,Gerado no Templo a partir do Dano na Muralha Cósmica
resource.dragon_ability_points,Pontos de Habilidade do Dragão
resource.dragon_ability_points_description,Ganho ao subir o nível do Dragão
resource.dragonite,Dragonita
resource.holy_grail,Santo Graal
resource.knowledge,Conhecimento
resource.knowledge_description,Criado por Tomos Espirituais
resource.magic,Magia
resource.magic_description,Criado por Nuvenzinhas
resource.magic_gold,Ouro Mágico
resource.magic_gold_description,Criado por Alquimistas
resource.mana_stone,Pedra de Mana
resource.ouroboros,Ouroboros
resource.philosopher_stone,Pedra Filosofal
resource.spirits,Espíritos
resource.spirits_description,Comprado na Orbe
resource.totems,Totens
resource.totems_description,Comprado no Portal da Silvicultura
resource.trade_agreements,Acordos Comerciais
resource.trade_agreements_description,Criado por Diplomatas
resource.wood,Madeira
resource.wood_description,Colhido por Druidas
skill.alchemy_lab,Laboratório de Alquimia
skill.alchemy_lab.tooltip,Aumenta o ganho de experiência para {training} em {percent_increase}%
skill.analyze_cursed,Análise da Muralha Amaldiçoada
skill.analyze_cursed.tooltip,Aumenta o dano base das Maldições em {percent_increase}%
skill.analyze_molten,Análise da Muralha Fundida
skill.analyze_molten.tooltip,Aumenta a quantidade de Fundido aplicada em {percent_increase}%
skill.analyze_resonance,Análise da Muralha Estilhaçada
skill.analyze_resonance.tooltip,Aumenta a quantidade de Estilhaço aplicada em {percent_increase}%
skill.analyze_wall,Analisar Muralha
skill.analyze_wall.tooltip,"Analisa a Muralha Cósmica, desbloqueando o conjunto de recursos necessários para quebrar a muralha. - Os requisitos serão exibidos na Orbe."
skill.analyze_weakened,Análise da Muralha Enfraquecida
skill.analyze_weakened.tooltip,Aumenta a quantidade de Enfraquecido aplicada em {percent_increase}%
skill.bigger_forest,Floresta Maior
skill.bigger_forest_2,Poder Druida
skill.bigger_forest_2.tooltip,Aumenta o ganho de {wood_icon} em {percent_increase}%
skill.bigger_forest.tooltip,Aumenta o tamanho da floresta. - Aumenta a quantidade de {wood_icon} que cada tora fornece em {percent_increase}%
skill.build_academy,Construir Academia
skill.build_academy.tooltip,Constrói uma Academia para educação mágica
skill.build_book_house,Construir Casa dos Livros
skill.build_book_house.tooltip,Casas dos Livros aumentam coletivamente o ganho de {knowledge_icon} em {percent_increase}% compostos
skill.build_dragon_nest,Construir Ninho do Dragão
skill.build_dragon_nest.tooltip,Constrói um ninho de dragão para chocar um dragão
skill.build_embassy,Construir Embaixada
skill.build_embassy.tooltip,Constrói uma embaixada para ganhar relações internacionais
skill.build_house,Construir Casa dos Espíritos
skill.build_house.tooltip,Casas dos Espíritos aumentam coletivamente o ganho de {magic_icon} em {percent_increase}% compostos - Toda Ascensão de Torre concede uma quantia fixa de {building_points_icon}
skill.build_tree_house,Construir Casa na Árvore
skill.build_tree_house.tooltip,Casas na Árvore aumentam coletivamente o ganho de {wood_icon} em {percent_increase}% compostos
skill.carve_crafting_totem,Totem de Fabricação
skill.carve_crafting_totem.tooltip,Cada Totem aumenta o progresso de criação de {blank_rune_icon} e {magic_gold_icon} em {percent_increase}% - Bônus atual: {total}%
skill.carve_forest_totem,Totem da Floresta
skill.carve_forest_totem.tooltip,Cada Totem aumenta o ganho de {wood_icon} em {percent_increase}% - Bônus atual: {total}% - Também cria {amount} {spirit_icon}
skill.carve_knowledge_totem,Totem do Conhecimento
skill.carve_knowledge_totem.tooltip,Cada Totem aumenta o ganho de {knowledge_icon} em {percent_increase}% - Bônus atual: {total}%
skill.carve_magic_totem,Totem da Magia
skill.carve_magic_totem.tooltip,Cada Totem aumenta o ganho de {magic_icon} em {percent_increase}% - Bônus atual: {total}%
skill.carve_sage_totem,Totem do Sábio
skill.carve_sage_totem.tooltip,Cada Totem aumenta o ganho de EXP da Academia em {percent_increase}% compostos - Bônus atual: {total}%
skill.cloud_resonance,Ressonância de Nuvens
skill.cloud_resonance.tooltip,"Toda vez que o Dragão sopra Magia, todas as Nuvenzinhas criarão uma gota de Magia"
skill.cloudling_magic,Magia de Nuvenzinha
skill.cloudling_potency,Impulso de Nuvenzinha
