key,en
blessing.specialization_blessing.description,"Gain {amount} Dragon Ability Points initially

Every {every} levels a Dragon ability gains, increase all other Dragon abilities by {points} levels"
blessing.spirit_debt.name,Blessing of Debt
blessing.spirit_debt.description,Start with negative {amount} {spirit_icon}. Every non-sorcery Spirit type will start with {start_amount} {spirit_icon} summoned.
button.autobuy_spirits,Autobuy
button.bought,Bought
button.build_tower,Build Tower
button.built,Built
button.buy,Buy
button.cancel,Cancel
button.cannot_upgrade,Cannot Upgrade
button.close,Close
button.continue_anyway,Continue Anyways
button.craft,Craft
button.early_prestige,Early Prestige
button.email,barribobgames@gmail.com
button.end_game,End Game
button.exit,Exit
button.final_ascension,The Final Ascension
button.fire_magic,Fire Magic Beam
button.go_to_academy,Go To Academy (Shortcut {shortcut})
button.go_to_building,Go To Building (Shortcut {shortcut})
button.go_to_dragon,Go To Dragon Nest (Shortcut {shortcut})
button.go_to_embassy,Go To Embassy (Shortcut {shortcut})
button.go_to_forest,Go To Forestry (Shortcut {shortcut})
button.go_to_observatory,Go To Observatory (Shortcut {shortcut})
button.go_to_orb,Go To Orb (Shortcut {shortcut})
button.go_to_prestige,Go To Prestige (Shortcut {shortcut})
button.go_to_relics,Go To Alchemy Lab (Shortcut {shortcut})
button.go_to_runecraft,Go To Runecraft (Shortcut {shortcut})
button.go_to_sorcery,Go To Sorcery (Shortcut {shortcut})
button.go_to_sorcery_2,Go To Sorcery
button.go_to_study,Go To Study (Shortcut {shortcut})
button.go_to_temple,Go To Temple (Shortcut {shortcut})
button.go_to_wall_wizard,Go To Wall Wizard (Shortcut {shortcut})
button.google_forms,Google Forms
button.hide_maxed_skills,Hide Maxed
button.learn,Learn
button.maxed,Maxed
button.new_game,New Game!
button.next_run,Next Run
button.ok,OK
button.open_remap_menu,Remap Shortcuts
button.open_save_folder,Open Save Folder
button.preload_3,3 Prestige Points
button.preload_6,6 Prestige Points
button.preload_9,9 Prestige Points
button.preload_13,13 Prestige Points
button.preload_18,18 Prestige Points
button.preload_24,24 Prestige Points
button.prestige,Prestige
button.prestige_cancel,Cancel
button.prestige_confirm,Confirm
button.refund_diplomats,Refund Diplomats
button.reset,Reset
button.reset_blessings,Refund All Blessings
button.sorcery_manual,Sorcery Manual
button.steam_forum,Steam Forum
button.toggle_fullscreen,Toggle Fullscreen
button.unlocked,Unlocked
button.upgrade,Upgrade
button.upgrade_tower,Ascend Tower
button.view_blessings,View Blessings
button.we'll_see,We'll See About That
damage_source.curse.name,Curse
damage_source.curse.description,Curse
damage_source.dragon.name,Dragon
damage_source.dragon.description,Dragon
damage_source.fire_arrows.name,Fire Arrows
damage_source.fire_arrows.description,Fire Arrows
damage_source.fireball_shrapnel.name,Fireball Shrapnel
damage_source.fireball_shrapnel.description,Fireball Shrapnel
damage_source.gorgon.name,Gorgon
damage_source.gorgon.description,Gorgon
damage_source.ice_arrows.name,Ice Arrows
damage_source.ice_arrows.description,Ice Arrows
damage_source.ifrit.name,Ifrit
damage_source.ifrit.description,Ifrit
damage_source.shaman.name,Shaman
damage_source.shaman.description,Shaman
damage_source.spirit_sage.name,Spirit Sage
damage_source.spirit_sage.description,Spirit Sage
damage_source.wall_repair.name,Wall Repair
damage_source.wall_repair.description,"Wall Repair

- Repairs wall by up to {repair_rate} damage per minute"
damage_source.zephyr.name,Zephyr
damage_source.zephyr.description,Zephyr
dragon_ability.fireballs.name,Fireballs
dragon_ability.fireballs.tooltip,"If there is a wall, occasionally shoot a fireball that deals {main_value} base damage."
dragon_ability.magic_breath.name,Magic Breath
dragon_ability.magic_breath.tooltip,"Occasionally breathe {magic_icon} to The Orb, equal to the output of {main_value} Cloudlings"
dragon_ability.next_value_tooltip,- Upgrade increases this to {next_value}
dragon_ability.pulse_of_knowledge.name,Pulse of Knowledge
dragon_ability.pulse_of_knowledge.tooltip,"Occasionally gain {knowledge_icon} equal to {main_value} tomes.

- Hold the button or press shift to buy multiple"
dragon_ability.telepathy.name,Telepathy
dragon_ability.telepathy.tooltip,Increases Academy experience gain by {main_value}%
dragon_ability.treasure_keeper.name,Treasure Keeper
dragon_ability.treasure_keeper.tooltip,Increases {magic_gold_icon} production speed by {main_value}%
header.abilities,Abilities
header.academy,Academy
header.alchemists,Alchemy Lab
header.blessing_locked,Blessings Locked
header.blessings,Blessings
header.blessings_view_only,Blessings (View Only)
header.building,Building
header.dragon_nest,Dragon Nest
header.early_prestige,Early Prestige
header.embassy,Embassy
header.forestry,Forestry
header.level,Lv.{level}
header.milestone_blessings,Milestone Blessings
header.new_update,New Update
header.notice,Notice
header.observatory,Observatory
header.orb,The Orb
header.playtest,Welcome to the Playtest!
header.prestige,Prestige
header.relics,Relics
header.remap,Remap
header.rune,Runecraft
header.skills,Skills
header.small_buildings,Spirit Housing
header.sorcery,Sorcery
header.spirits,The Orb
header.study,Study
header.temple,Temple
header.this_run,This Run
header.totems,Totems
header.tower_requirements,Tower Requirements
header.training,Research
header.unlockable_blessings,Unlockable Blessings
header.unspent_points,You Have Unspent Points
header.warden,Wall Wizard
label.assigned_points,Assigned Points: {points}
label.attention_icon_explanation,The Tower can be Ascended to the next level.
label.build_tower_explanation,Does not use any resources to ascend
label.calculating,Calculating...
label.confirm_prestige,Are you sure you want to prestige?
label.cost,Cost:
label.cost_icon,{cost} {icon}
label.costs,- costs
label.crafting_cost,Crafting Cost:
label.damage_exp_explanation,"When this bar is full, you gain a prestige point.

- The bar fills based on the damage dealt to the wall.

- ETA: {eta}"
label.damage_type_blessing,Blessing Effect:
label.dragon_costs,- costs {cost} {icon}
label.dragon_level,"Every time the Dragon levels up, you get an ability point to upgrade abilities

- ETA: {eta}"
label.effects,Effects
label.effects_description,These are the effects that are currently applied to the wall.
label.ending_time,You built the greatest Wizard Tower in {hours}:{minutes}:{seconds}
label.feedback,Feedback
label.final_ascension_explanation,Can you ascend the tower one more time?
label.fire_magic_explanation,The Astrologer has determined that the wall can be destroyed using The Orb with the right resources.
label.go_to_sorcery,Go To Sorcery (Shortcut 8)
label.go_to_spoiler,Go To ???
label.hover,Hover over
label.less_than_minute,Less than 1 minute
label.maxed,Maxed
label.new_update_description.0_0_3,"The game has been given a major update! If you had a previous save, most progress will carry over, but consider starting a new game to properly experience some of the new features."
label.new_update_description.playtest,"This version has more content unlocked beyond what the demo provides. I am looking for feedback about the new content. Also, there are some utilities in the 'playtest' menu that may aid you. Have fun!"
label.new_update_description.previous_playtest,It seems that you have possibly played the playtest version before. Note that the demo version is going to have less content unlocked than the closed playtest version.
label.new_update_description.prototype,"The game has been given a major update! If you had a previous save, some progress (like prestige points) will carry over, but I recommend starting a new game because many things have changed, and mechanics have been added/removed."
label.not_active,- Not active
label.points,Points:{points}
label.points_earned,Points Earned:{points}
label.preloaded_saves,Preloaded Saves
label.press_and_hold,Press and hold
label.prestige_early_explanation,"Prestige early to restart the run or reconfigure your blessings, but there is no significant benefit."
label.prestige_exp_explanation,"When this bar is full, you gain a prestige point.

- The bar fills based on the amount of {magic_icon} gained.

- ETA: {eta}"
label.prestige_explanation,"Prestiging resets your progress, but allows you to gain blessings to make your next run better."
label.prestige_points_explanation,Prestige points are used to gain blessings.
label.relics,Owned Relics
label.relics_needed,(need {needed} more)
label.relics_owned,- You own {owned}
label.reset_blessings,You can also right-click to refund individual blessings.
label.restore_wall,Have the Wall Wizard restore/disable the Cosmic Wall
label.rune_exp,Rune Progress
label.rune_exp_eta,"Rune Progress

- ETA: {eta}"
label.story_1,"I see you've built quite the civilization, but that tower must go no higher."
label.story_2,This great wall will stop you from ascending further.
label.story_3,"I seem to have underestimated you. However, you shall not pass this wall."
label.story_4,"Fine, I'll make a deal. If you can destroy this wall, I won't stop you anymore."
label.story_5,I am impressed by your determination. I may even stay and help a bit to see the final result.
label.supervision_blessing,Supervision Blessing
label.temple_exp,Cosmic Dust EXP
label.temple_exp_explanation,"Cosmic Dust creation progress. When full, you get 1 Cosmic Dust. The bar fills based on damage dealt to the Cosmic Wall.

- ETA: {eta}"
label.thanks_for_playing,Thanks for playing!
label.the_end,The End
label.tower_requirements_explanation,Fulfill the tower requirements to ascend the tower to the next level.
label.tower_resource_explanation,"Accumulate a lifetime total of {cost} {resource}.
({accumulated} accumulated so far)"
label.tower_resource_explanation_balance_blessing,The balance blessing is active for this resource
label.unspent_points_warning,You have unspent points. There is no advantage in keeping points unspent. It is recommended to assign them all to unlockable blessings (some blessings can have two points).
label.utilities,Utilities
label.wall_0,Cloud Wall
label.wall_1,Solar Wall
label.wall_2,Cosmic Wall
label.wall_explanation,Break the wall above to ascend the tower.
label.wall_health_bar,Wall has {value} health remaining
nation.arcanis_nation.name,Arcanis
nation.arcanis_nation.description,"Nation with a respected university

- Relations bonus: Increases Academy EXP gain by {percent_increase}%"
nation.axel_nation.name,Axel
nation.axel_nation.description,"Kingdom of adventurers and vast plains

- Relations bonus: Unlock new Knowledge-based upgrades for Sorcery and Dragon Nest."
nation.ceha_nation.name,Ceha
nation.ceha_nation.description,"Land of volcanoes 

- Relations bonus: Dragon Keepers provide {percent_increase}% more Dragon EXP"
nation.chronara_nation.name,Chronara
nation.chronara_nation.description,"Hidden nation that occasionally submerges

- Relations bonus: Every 2 seconds gain Trade Agreements equal to your diplomat population."
nation.fel_nation.name,Fel
nation.fel_nation.description,"Nation known for ancient magic

- Relations bonus: Increases Academy EXP gain by {percent_increase}%"
nation.istesha_nation.name,Istesha
nation.istesha_nation.description,"Nation of dragons

- Relations bonus: Instantly gain {amount} dragon ability points"
nation.janand_nation.name,Janand
nation.janand_nation.description,"Nation of prisoners and exiles

- Relations bonus: Increases all unit damage by {percent_increase}%"
nation.lapis_nation.name,Lapis
nation.lapis_nation.description,"Nation with stone pillars and buttes

- Relations bonus: Instantly gain {amount} Cognite."
nation.lilon_nation.name,Lilon
nation.lilon_nation.description,"Nation of wind and coasts

- Relations bonus: Increases Cloudling {magic_icon} gain by {percent_increase}%"
nation.luscana_nation.name,Luscana
nation.luscana_nation.description,"Nation of the jewelry

- Relations bonus: Instantly gain {amount} Mana Stones."
nation.maristella_nation.name,Maristella
nation.maristella_nation.description,"Nation of trade and seafaring.

- Relations bonus: Increases {knowledge_icon} gain by {percent_increase}%"
nation.netus_nation.name,Netus
nation.netus_nation.description,"Nation of crafters

- Relations bonus: Unlocks new Knowledge-based upgrades for the forest and academy"
nation.odantis_nation.name,Odantis
nation.odantis_nation.description,"Nation of long winters

- Relations bonus: Increases {knowledge_icon} gain by {percent_increase}%"
nation.peace_land_nation.name,Peace Land
nation.peace_land_nation.description,"Nation of small humans and spirits

- Relations bonus: Instantly gain {amount} {spirit_icon}."
nation.prismara_nation.name,Prismara
nation.prismara_nation.description,"Nation of the crystal and sea

- Relations bonus: Increases {magic_gold_icon} production speed by {percent_increase}%"
nation.starting_nation.name,Your Nation
nation.starting_nation.description,"This is your domain. Once you have enough {trade_agreement_icon}, click on a neighboring nation to establish relations."
nation.tedora_nation.name,Tedora
nation.tedora_nation.description,"Nation of Ancient Forests

- Relations bonus: Increases {wood_icon} gain by {percent_increase}%"
nation.tempestus_nation.name,Tempestus
nation.tempestus_nation.description,"Nation of mountains and storms

- Relations bonus: Increases Cloudling {magic_icon} gain by {percent_increase}%"
nation.tenebris_nation.name,Tenebris
nation.tenebris_nation.description,"Nation of vast caves

- Relations bonus: Increases {magic_gold_icon} production speed by {percent_increase}%"
nation.verdania_nation.name,Verdania
nation.verdania_nation.description,"Nation of vast forests

- Relations bonus: Increases {wood_icon} gain by {percent_increase}%"
nation.wedol_nation.name,Wedol
nation.wedol_nation.description,"Empire of the rainforest

- Relations bonus: Instantly gain {amount} totems."
nation.xara_nation.name,Xara
nation.xara_nation.description,"Nation of the desert and stone

- Relations bonus: Instantly gain {amount} Dragonite."
relic.cognite,Cognite
relic.cognite.tooltip,Each Cognite increases {knowledge_icon} gain by {percent_increase}%
relic.dragonite,Dragonite
relic.dragonite.tooltip,Each Dragonite increases Dragon EXP gain by {percent_increase}%
relic.holy_grail,Holy Grail
relic.holy_grail.tooltip,Each Holy Grail increases {magic_icon} gain by {magic_increase}% and Dragon EXP gain by {dragon_exp_increase}%
relic.magic_gold,Magic Gold
relic.magic_gold.tooltip,Each Magic Gold increases {magic_icon} gain by {percent_increase}%
relic.mana_stone,Mana Stone
relic.mana_stone.tooltip,Each Mana Stone increases {magic_icon} gain by {percent_increase}%
relic.ouroboros,Ouroboros
relic.ouroboros.tooltip,Each Ouroboros increases {knowledge_icon} gain by {knowledge_increase}% and Dragon EXP gain by {dragon_exp_increase}%
relic.philosopher_stone,Philosopher's Stone
relic.philosopher_stone.tooltip,Each Philosopher's Stone increases {knowledge_icon} gain by {knowledge_increase}% and {magic_icon} gain by {magic_increase}%
resource.blank_rune,Blank Rune
resource.blank_rune_description,Created by Runesmiths
resource.building_points,Building Points
resource.building_points_description,Every Tower Ascension grants a fixed amount.
resource.cognite,Cognite
resource.cosmic_analysis,Cosmic Analysis
resource.cosmic_analysis_description,Bought at The Observatory
resource.cosmic_dust,Cosmic Dust
resource.cosmic_dust_description,Generated at the Temple from Cosmic Wall Damage
resource.dragon_ability_points,Dragon Ability Points
resource.dragon_ability_points_description,Gained from the leveling up the Dragon
resource.dragonite,Dragonite
resource.holy_grail,Holy Grail
resource.knowledge,Knowledge
resource.knowledge_description,Created by Spirit Tomes
resource.magic,Magic
resource.magic_description,Created by Cloudlings
resource.magic_gold,Magic Gold
resource.magic_gold_description,Created by Alchemists
resource.mana_stone,Mana Stone
resource.ouroboros,Ouroboros
resource.philosopher_stone,Philosopher's Stone
resource.spirits,Spirits
resource.spirits_description,Purchased at The Orb
resource.totems,Totems
resource.totems_description,Purchased at The Forestry Portal
resource.trade_agreements,Trade Agreements
resource.trade_agreements_description,Created by Diplomats
resource.wood,Wood
resource.wood_description,Harvested by Druids
skill.alchemy_lab,Alchemy Lab
skill.alchemy_lab.tooltip,Increase the experience gain for {training} by {percent_increase}%
skill.analyze_cursed,Cursed Wall Analysis
skill.analyze_cursed.tooltip,Increase the base damage of Curses by {percent_increase}%
skill.analyze_molten,Molten Wall Analysis
skill.analyze_molten.tooltip,Increase the amount of Molten applied by {percent_increase}%
skill.analyze_resonance,Shattering Wall Analysis
skill.analyze_resonance.tooltip,Increase the amount of Shatter applied by {percent_increase}%
skill.analyze_wall,Analyze Wall
skill.analyze_wall.tooltip,"Analyze the Cosmic Wall, unlocking the set of resources required to break the wall.

- The requirements will be displayed in The Orb."
skill.analyze_weakened,Weakened Wall Analysis
skill.analyze_weakened.tooltip,Increase the amount of Weakened applied by {percent_increase}%
skill.bigger_forest,Bigger Forest
skill.bigger_forest_2,Druid Power
skill.bigger_forest_2.tooltip,Increase {wood_icon} gain by {percent_increase}%
skill.bigger_forest.tooltip,"Increases the forest size.

- Increase the amount of {wood_icon} each log provides by {percent_increase}%"
skill.build_academy,Build Academy
skill.build_academy.tooltip,Build an Academy for magic education
skill.build_book_house,Build Book House
skill.build_book_house.tooltip,Book Houses collectively increase {knowledge_icon} gain by a compounding {percent_increase}%
skill.build_dragon_nest,Build Dragon Nest
skill.build_dragon_nest.tooltip,Build a dragon nest to hatch a dragon
skill.build_embassy,Build Embassy
skill.build_embassy.tooltip,Build an embassy to gain international relations
skill.build_house,Build Spirit House
skill.build_house.tooltip,"Spirit Houses collectively increase {magic_icon} gain by a compounding {percent_increase}%

- Every Tower Ascension grants a fixed amount of {building_points_icon}"
skill.build_tree_house,Build Tree House
skill.build_tree_house.tooltip,Tree Houses collectively increase {wood_icon} gain by a compounding {percent_increase}%
skill.carve_crafting_totem,Crafting Totem
skill.carve_crafting_totem.tooltip,"Each Totem increases {blank_rune_icon} and {magic_gold_icon} creation progress by {percent_increase}%

- Current bonus: {total}%"
skill.carve_forest_totem,Forest Totem
skill.carve_forest_totem.tooltip,"Each Totem increases {wood_icon} gain by {percent_increase}%

- Current bonus: {total}%

- Also creates {amount} {spirit_icon}"
skill.carve_knowledge_totem,Knowledge Totem
skill.carve_knowledge_totem.tooltip,"Each Totem increases {knowledge_icon} gain by {percent_increase}%

- Current bonus: {total}%"
skill.carve_magic_totem,Magic Totem
skill.carve_magic_totem.tooltip,"Each Totem increases {magic_icon} gain by {percent_increase}%

- Current bonus: {total}%"
skill.carve_sage_totem,Sage Totem
skill.carve_sage_totem.tooltip,"Each Totem increases Academy EXP gain by a compounding {percent_increase}%

- Current bonus: {total}%"
skill.cloud_resonance,Cloud Resonance
skill.cloud_resonance.tooltip,"Every time the Dragon breathes Magic, all Cloudlings will create one drop of Magic"
skill.cloudling_magic,Cloudling Magic
skill.cloudling_potency,Cloudling Boost
skill.cloudling_potency.tooltip,Increase Cloudling {magic_icon} creation by {percent_increase}%
skill.combat_magic,Combat Magic
skill.combat_magic.tooltip,Increase all damage by {percent_increase}%
skill.craft_totem,Craft Totem
skill.craft_totem.tooltip,Craft {totem_icon}. Totems can be carved into different types and placed on the totem pole for various bonuses.
skill.create_cosmic_analysis,Cosmic Analysis
skill.create_cosmic_analysis.tooltip,Creates 1 Cosmic Analysis to be spent on analysis upgrades.
skill.dragon_alphabet,Dragon Alphabet
skill.dragon_alphabet.tooltip,Increase the experience gain for {training} by {percent_increase}%
skill.dragon_wisdom,Dragon Knowledge
skill.dragon_wisdom.tooltip,Increase Dragon Keeper EXP gain by {percent_increase}%
skill.enchant_frost,Frost Wall Enchantment
skill.enchant_frost.tooltip,"Each stack of Frost increases {wood_icon} gain by {percent_increase}%

- Also increases {cosmic_dust_icon} creation speed by {cosmic_percent_increase}%"
skill.enchant_molten,Molten Wall Enchantment
skill.enchant_molten.tooltip,"Each stack of Molten increases Dragon EXP gain by {percent_increase}%

- Also increases the speed of {cosmic_dust_icon} creation by {cosmic_percent_increase}%"
skill.enchant_shatter,Shatter Wall Enchantment
skill.enchant_shatter.tooltip,"Each stack of Shatter increases {blank_rune_icon} creation speed by {percent_increase}%

- Also increases {cosmic_dust_icon} creation speed by {cosmic_percent_increase}%"
skill.herbology_textbooks,Forestry Notebooks
skill.herbology_textbooks.tooltip,Increase the experience gain for {training} by {percent_increase}%
skill.improved_facilities,Improved Academy
skill.improved_facilities_2,Great University
skill.improved_facilities_2.tooltip,Increase the experience gain for all research subjects in the Academy by {percent_increase}%
skill.improved_facilities.tooltip,Increase the experience gain for all research subjects in the Academy by {percent_increase}%
skill.infinity_rune_upgrade,Infinity Rune
skill.infinity_rune_upgrade.tooltip,Increase all base damage by {percent_increase}%
skill.library_spirits,Library Spirits
skill.library_spirits.tooltip,Creates {amount} {spirit_icon} from the study
skill.magic_textbooks,Improved Wands
skill.magic_textbooks.tooltip,Increase the experience gain for {training} by {percent_increase}%
skill.rune_mastery,Rune Mastery
skill.rune_mastery.tooltip,Increase {blank_rune_icon} creation speed by {percent_increase}%
skill.summon_alchemist,Summon Alchemist
skill.summon_alchemist.tooltip,"Helps create {magic_gold_icon}.

- Unlocks new Academy upgrades

- Hold the button or press shift to buy multiple."
skill.summon_astrologer,Summon Astrologer
skill.summon_astrologer.tooltip,"Builds the Observatory

- The Astrologer will observe the Cosmic Wall, finding weaknesses and the way to possibly break it."
skill.summon_cloudling,Summon Cloudling
skill.summon_cloudling.tooltip,"Summon a Cloudling that creates {magic_icon}

- {press_and_hold} the orb to speed them up by {speed_up_increase}%"
skill.summon_diplomat,Summon Diplomat
skill.summon_diplomat.tooltip,"Summons a diplomat that creates {trade_agreement_icon}.

- {press_and_hold} the Embassy to speed them up by {speed_up_increase}%

- Can be refunded for {spirit_icon} when the map is complete."
skill.summon_dragon_keeper,Dragon Keeper
skill.summon_dragon_keeper.tooltip,"Summon a Dragon Keeper to help level up the Dragon

- {press_and_hold} the Dragon nest to speed them up by {speed_up_increase}%"
skill.summon_dragon_queen,Summon Dragon Queen
skill.summon_dragon_queen.tooltip,"The Dragon Queen will level up the Dragon equal to {percent}% of all Dragon Keepers combined.

- The Dragon Queen will also double any Dragon Fireball into two."
skill.summon_druid,Summon Druid
skill.summon_druid.tooltip,"Druids maintain the forest and harvest {wood_icon}.

- {press_and_hold} the forest to speed them up by {speed_up_increase}%"
skill.summon_forest_keeper,Summon Forest Keeper
