key,en
blessing.gorgon_blessing.description,壁の「弱体化」スタック{every}ごとに、ゴルゴンの与ダメージが{percent_increase}%増加します
blessing.knowledge_blessing.name,知識の祝福
blessing.knowledge_blessing.description,{knowledge_icon}の獲得量が{percent_increase}%増加します
blessing.magic_gain_blessing.name,魔法の祝福
blessing.magic_gain_blessing.description,{magic_icon}の獲得量が{percent_increase}%増加します
blessing.midway_blessing.name,ダメージの祝福
blessing.midway_blessing.description,{knowledge_icon}の獲得量が{knowledge_increase}%、壁へのダメージが{damage_increase}%増加します
blessing.prestige_blessing.name,灯台の祝福
blessing.prestige_blessing.description,タワーにプレステージの建物が存在する場合、{magic_icon}と{wood_icon}の獲得量が{percent_increase}%増加します
blessing.refining_blessing.name,精錬の祝福
blessing.refining_blessing.description,ルーンを複数回アップグレードできるようになります。
blessing.research_blessing.name,研究の祝福
blessing.research_blessing.description,"錬金術施設を建設すると、即座に{amount}個の{magic_gold_icon}を獲得します。

- リソースボーナスの影響は受けません。"
blessing.runecraft_blessing.name,ルーンクラフトの祝福
blessing.runecraft_blessing.description,ルーンを1つ作成するたびに、追加で{amount}個のルーンを作成します
blessing.sage_totem_blessing.name,賢者のトーテムの祝福
blessing.sage_totem_blessing.description,アカデミーEXPの獲得量を{percent_increase}%の複利で増加させる新たなトーテムを追加します
blessing.specialization_blessing.name,専門化の祝福
blessing.specialization_blessing.description,"開始時にドラゴンアビリティポイントを{amount}獲得します

ドラゴンアビリティのレベルが{every}上がるごとに、他の全てのドラゴンアビリティのレベルが{points}上昇します"
blessing.spirit_debt.name,借金の祝福
blessing.spirit_debt.description,開始時のスピリットが-{amount}{spirit_icon}になる代わりに、ソーサリー以外の全スピリットタイプが{start_amount}{spirit_icon}召喚された状態で始まります。
button.autobuy_spirits,自動購入
button.bought,購入済み
button.build_tower,タワーを建設
button.built,建設済み
button.buy,購入
button.cancel,キャンセル
button.cannot_upgrade,アップグレード不可
button.close,閉じる
button.continue_anyway,問題なく続行
button.craft,製作
button.early_prestige,早期プレステージ
button.email,barribobgames@gmail.com
button.end_game,ゲーム終了
button.exit,終了
button.final_ascension,最終昇格
button.fire_magic,ファイア・マジックビーム
button.go_to_academy,アカデミーへ移動 (ショートカット: {shortcut})
button.go_to_building,建物へ移動 (ショートカット: {shortcut})
button.go_to_dragon,ドラゴンネストへ移動 (ショートカット: {shortcut})
button.go_to_embassy,大使館へ移動 (ショートカット: {shortcut})
button.go_to_forest,林業へ移動 (ショートカット: {shortcut})
button.go_to_observatory,天文台へ移動 (ショートカット: {shortcut})
button.go_to_orb,オーブへ移動 (ショートカット: {shortcut})
button.go_to_prestige,プレステージへ移動 (ショートカット: {shortcut})
button.go_to_relics,錬金術ラボへ移動 (ショートカット: {shortcut})
button.go_to_runecraft,ルーンクラフトへ移動 (ショートカット: {shortcut})
button.go_to_sorcery,ソーサリーへ移動 (ショートカット: {shortcut})
button.go_to_sorcery_2,ソーサリーへ移動
button.go_to_study,書斎へ移動 (ショートカット: {shortcut})
button.go_to_temple,寺院へ移動 (ショートカット: {shortcut})
button.go_to_wall_wizard,ウォールウィザードへ移動 (ショートカット: {shortcut})
button.google_forms,Googleフォーム
button.hide_maxed_skills,最大レベルの項目を隠す
button.learn,習得
button.maxed,最大
button.new_game,ニューゲーム！
button.next_run,次の周回へ
button.ok,OK
button.open_remap_menu,ショートカット再設定
button.open_save_folder,セーブフォルダを開く
button.preload_3,3 プレステージポイント
button.preload_6,6 プレステージポイント
button.preload_9,9 プレステージポイント
button.preload_13,13 プレステージポイント
button.preload_18,18 プレステージポイント
button.preload_24,24 プレステージポイント
button.prestige,プレステージ
button.prestige_cancel,キャンセル
button.prestige_confirm,実行
button.refund_diplomats,外交官を払い戻す
button.reset,リセット
button.reset_blessings,全ての祝福を払い戻す
button.sorcery_manual,ソーサリーマニュアル
button.steam_forum,Steamフォーラム
button.toggle_fullscreen,フルスクリーン切替
button.unlocked,解放済み
button.upgrade,アップグレード
button.upgrade_tower,タワーを昇格
button.view_blessings,祝福を見る
button.we'll_see,いずれ分かるだろう
damage_source.curse.name,呪い
damage_source.curse.description,呪い
damage_source.dragon.name,ドラゴン
damage_source.dragon.description,ドラゴン
damage_source.fire_arrows.name,火矢
damage_source.fire_arrows.description,火矢
damage_source.fireball_shrapnel.name,ファイアボールの破片
damage_source.fireball_shrapnel.description,ファイアボールの破片
damage_source.gorgon.name,ゴルゴン
damage_source.gorgon.description,ゴルゴン
damage_source.ice_arrows.name,氷矢
damage_source.ice_arrows.description,氷矢
damage_source.ifrit.name,イフリート
damage_source.ifrit.description,イフリート
damage_source.shaman.name,シャーマン
damage_source.shaman.description,シャーマン
damage_source.spirit_sage.name,スピリットセージ
damage_source.spirit_sage.description,スピリットセージ
damage_source.wall_repair.name,壁の修復
damage_source.wall_repair.description,"壁の修復

- 毎分最大{repair_rate}ダメージ分、壁を修復する"
damage_source.zephyr.name,ゼファー
damage_source.zephyr.description,ゼファー
dragon_ability.fireballs.name,ファイアボール
dragon_ability.fireballs.tooltip,壁が存在する場合、基礎ダメージ{main_value}のファイアボールを時々発射する。
dragon_ability.magic_breath.name,マジックブレス
dragon_ability.magic_breath.tooltip,時々、{main_value}体のクラウドリングの生産量に等しい{magic_icon}をオーブに吹き込む
dragon_ability.next_value_tooltip,- アップグレードにより{next_value}に増加
dragon_ability.pulse_of_knowledge.name,知識の波動
dragon_ability.pulse_of_knowledge.tooltip,"時々、{main_value}冊分の{knowledge_icon}を獲得する。

- ボタン長押し、またはShiftキーを押しながらクリックで複数購入できます"
dragon_ability.telepathy.name,テレパシー
dragon_ability.telepathy.tooltip,アカデミーの経験値獲得量が{main_value}%増加します
dragon_ability.treasure_keeper.name,宝物の番人
dragon_ability.treasure_keeper.tooltip,{magic_gold_icon}の生産速度が{main_value}%増加します
header.abilities,アビリティ
header.academy,アカデミー
header.alchemists,錬金術ラボ
header.blessing_locked,祝福はロックされています
header.blessings,祝福
header.blessings_view_only,祝福 (閲覧のみ)
header.building,建物
header.dragon_nest,ドラゴンネスト
header.early_prestige,早期プレステージ
header.embassy,大使館
header.forestry,林業
header.level,Lv.{level}
header.milestone_blessings,マイルストーン祝福
header.new_update,アップデート情報
header.notice,お知らせ
header.observatory,天文台
header.orb,オーブ
header.playtest,プレイテストへようこそ！
header.prestige,プレステージ
header.relics,レリック
header.remap,再設定
header.rune,ルーンクラフト
header.skills,スキル
header.small_buildings,スピリット住居
header.sorcery,ソーサリー
header.spirits,オーブ
header.study,書斎
header.temple,寺院
header.this_run,今回の周回
header.totems,トーテム
header.tower_requirements,タワー要件
header.training,研究
header.unlockable_blessings,解放可能な祝福
header.unspent_points,未使用のポイントがあります
header.warden,ウォールウィザード
label.assigned_points,割り振り済みポイント: {points}
label.attention_icon_explanation,タワーを次のレベルへ昇格させることができます。
label.build_tower_explanation,昇格にリソースは消費しません
label.calculating,計算中...
label.confirm_prestige,本当にプレステージを 実行しますか？
label.cost,コスト:
label.cost_icon,{cost} {icon}
label.costs,- コスト
label.crafting_cost,製作コスト:
label.damage_exp_explanation,"このバーが満タンになると、プレステージポイントを1獲得します。

- バーは壁に与えたダメージに応じて溜まります。

- 残り時間: {eta}"
label.damage_type_blessing,祝福効果:
label.dragon_costs,- コスト {cost} {icon}
label.dragon_level,"ドラゴンがレベルアップするたびに、アビリティを強化するためのアビリティポイントを1獲得します。

- 残り時間: {eta}"
label.effects,効果
label.effects_description,現在、壁に適用されている効果です。
label.ending_time,あなたは{hours}:{minutes}:{seconds}で最高のウィザードタワーを築き上げました
label.feedback,フィードバック
label.final_ascension_explanation,もう一度、タワーを昇格させられるか？
label.fire_magic_explanation,占星術師は、適切なリソースをオーブと共に用いることで、壁を破壊できると突き止めました。
label.go_to_sorcery,ソーサリーへ移動 (ショートカット: 8)
label.go_to_spoiler,???へ移動
label.hover,カーソルを合わせる
label.less_than_minute,1分未満
label.maxed,最大
label.new_update_description.0_0_3,ゲームはメジャーアップデートされました！以前のセーブデータがある場合、進行状況のほとんどは引き継がれますが、新機能を存分に体験していただくために、新規でゲームを開始することをお勧めします。
label.new_update_description.playtest,このバージョンでは、デモ版よりも多くのコンテンツが解放されています。新しいコンテンツに関するフィードバックをお待ちしています。また、「プレイテスト」メニューには、ゲームプレイの助けとなるユーティリティも用意されています。お楽しみください！
label.new_update_description.previous_playtest,以前にプレイテスト版をプレイされたことがあるようですね。デモ版はクローズドプレイテスト版よりも解放されるコンテンツが少ない点にご注意ください。
label.new_update_description.prototype,ゲームはメジャーアップデートされました！以前のセーブデータがある場合、プレステージポイントなどの一部の進行は引き継がれますが、多くの仕様変更や、システムの追加・削除が行われたため、新規でゲームを始めることを強くお勧めします。
label.not_active,- 無効
label.points,ポイント:{points}
label.points_earned,獲得ポイント:{points}
label.preloaded_saves,プリロードセーブ
label.press_and_hold,長押し
label.prestige_early_explanation,早期にプレステージを行うと、周回をリスタートしたり祝福を再設定したりできますが、特に大きなメリットはありません。
label.prestige_exp_explanation,"このバーが満タンになると、プレステージポイントを1獲得します。

- バーは{magic_icon}の獲得量に応じて溜まります。

- 残り時間: {eta}"
label.prestige_explanation,プレステージを行うと進行状況がリセットされますが、次の周回を有利に進めるための祝福を得ることができます。
label.prestige_points_explanation,プレステージポイントを使って祝福を獲得します。
label.relics,所有レリック
label.relics_needed,(残り {needed}個)
label.relics_owned,- {owned}個所有
label.reset_blessings,右クリックで個別の祝福を払い戻すこともできます。
label.restore_wall,ウォールウィザードに宇宙の壁を修復/無効化させる
label.rune_exp,ルーン進行度
label.rune_exp_eta,"ルーン進行度

- 残り時間: {eta}"
label.story_1,見事な文明を築いたようだが、 その塔をこれ以上高くすることは許さん。
label.story_2,この大いなる壁が、 貴様の行く手を阻むだろう。
label.story_3,どうやら貴様を侮っていたようだ。 だが、この壁を越えることはできんぞ。
label.story_4,よかろう、取引だ。 もしこの壁を破壊できたなら、 もう貴様を止めはしない。
label.story_5,その決意、感服した。 結末を見届けるため、 少しばかり力を貸してやろう。
label.supervision_blessing,指導者の祝福
label.temple_exp,コズミックダストEXP
label.temple_exp_explanation,"コズミックダスト生成の進行度。満タンになるとコズミックダストを1つ獲得します。バーは宇宙の壁に与えたダメージに応じて溜まります。

- 残り時間: {eta}"
label.thanks_for_playing,Thanks for playing!
label.the_end,The End
label.tower_requirements_explanation,タワー要件を満たし、タワーを次のレベルへ昇格させましょう。
label.tower_resource_explanation,"生涯合計で{cost}の{resource}を蓄積する。
(現在までの蓄積量: {accumulated})"
label.tower_resource_explanation_balance_blessing,このリソースには均衡の祝福が有効です
label.unspent_points_warning,未使用のポイントがあります。ポイントを未使用のままにしておくメリットはありません。解放可能な祝福に全て割り振ることをお勧めします（祝福によっては2ポイント割り振れるものもあります）。
label.utilities,ユーティリティ
label.wall_0,雲の壁
label.wall_1,太陽の壁
label.wall_2,宇宙の壁
label.wall_explanation,上の壁を破壊し、タワーを昇格させましょう。
label.wall_health_bar,壁の残り耐久値: {value}
nation.arcanis_nation.name,アルカニス
nation.arcanis_nation.description,"名高い大学を有する国家

- 関係ボーナス: アカデミーEXP獲得量が{percent_increase}%増加"
nation.axel_nation.name,アクセル
nation.axel_nation.description,"冒険者と広大な平原の王国

- 関係ボーナス: ソーサリーとドラゴンネストに、知識ベースの新たなアップグレードを解放。"
nation.ceha_nation.name,セハ
nation.ceha_nation.description,"火山の地

- 関係ボーナス: ドラゴンの番人がもたらすドラゴンEXPが{percent_increase}%増加"
nation.chronara_nation.name,クロナラ
nation.chronara_nation.description,"時折水中に沈む隠された国家

- 関係ボーナス: 2秒ごとに、外交官の人口と同数の貿易協定を獲得。"
nation.fel_nation.name,フェル
nation.fel_nation.description,"古代魔法で知られる国家

- 関係ボーナス: アカデミーEXP獲得量が{percent_increase}%増加"
nation.istesha_nation.name,イステシャ
nation.istesha_nation.description,"ドラゴンの国

- 関係ボーナス: ドラゴンアビリティポイントを即座に{amount}ポイント獲得"
nation.janand_nation.name,ジャナンド
nation.janand_nation.description,"囚人と追放者の国

- 関係ボーナス: 全ユニットのダメージが{percent_increase}%増加"
nation.lapis_nation.name,ラピス
nation.lapis_nation.description,"石柱と岩山が連なる国家

- 関係ボーナス: 即座に{amount}個のコグナイトを獲得。"
nation.lilon_nation.name,リロン
nation.lilon_nation.description,"風と海岸の国

- 関係ボーナス: クラウドリングの{magic_icon}獲得量が{percent_increase}%増加"
nation.luscana_nation.name,ルスカナ
nation.luscana_nation.description,"宝飾の国

- 関係ボーナス: マナストーンを即座に{amount}個獲得。"
nation.maristella_nation.name,マリステラ
nation.maristella_nation.description,"貿易と航海の国。

- 関係ボーナス: {knowledge_icon}の獲得量が{percent_increase}%増加"
nation.netus_nation.name,ネトゥス
nation.netus_nation.description,"職人の国

- 関係ボーナス: 林業とアカデミーに、知識ベースの新たなアップグレードを解放"
nation.odantis_nation.name,オダンティス
nation.odantis_nation.description,"長い冬の国

- 関係ボーナス: {knowledge_icon}の獲得量が{percent_increase}%増加"
nation.peace_land_nation.name,ピースランド
nation.peace_land_nation.description,"小人と精霊の国

- 関係ボーナス: 即座に{amount}の{spirit_icon}を獲得。"
nation.prismara_nation.name,プリズマラ
nation.prismara_nation.description,"水晶と海の国

- 関係ボーナス: {magic_gold_icon}の生産速度が{percent_increase}%増加"
nation.starting_nation.name,あなたの国
nation.starting_nation.description,ここはあなたの領地です。{trade_agreement_icon}が十分に溜まったら、隣国をクリックして国交を樹立しましょう。
nation.tedora_nation.name,テドラ
nation.tedora_nation.description,"古代の森の国

- 関係ボーナス: {wood_icon}の獲得量が{percent_increase}%増加"
nation.tempestus_nation.name,テンペスタス
nation.tempestus_nation.description,"山と嵐の国

- 関係ボーナス: クラウドリングの{magic_icon}獲得量が{percent_increase}%増加"
nation.tenebris_nation.name,テネブリス
nation.tenebris_nation.description,"広大な洞窟の国

- 関係ボーナス: {magic_gold_icon}の生産速度が{percent_increase}%増加"
nation.verdania_nation.name,ヴェルダニア
nation.verdania_nation.description,"広大な森林の国

- 関係ボーナス: {wood_icon}の獲得量が{percent_increase}%増加"
nation.wedol_nation.name,ウェドル
nation.wedol_nation.description,"熱帯雨林の帝国

- 関係ボーナス: 即座に{amount}個のトーテムを獲得。"
nation.xara_nation.name,ザラ
nation.xara_nation.description,"砂漠と石の国

- 関係ボーナス: 即座に{amount}個のドラゴナイトを獲得。"
relic.cognite,コグナイト
relic.cognite.tooltip,コグナイト1つにつき、{knowledge_icon}の獲得量が{percent_increase}%増加します
relic.dragonite,ドラゴナイト
relic.dragonite.tooltip,ドラゴナイト1つにつき、ドラゴンEXPの獲得量が{percent_increase}%増加します
relic.holy_grail,聖杯
relic.holy_grail.tooltip,聖杯1つにつき、{magic_icon}の獲得量が{magic_increase}%、ドラゴンEXPの獲得量が{dragon_exp_increase}%増加します
relic.magic_gold,マジックゴールド
relic.magic_gold.tooltip,マジックゴールド1つにつき、{magic_icon}の獲得量が{percent_increase}%増加します
relic.mana_stone,マナストーン
relic.mana_stone.tooltip,マナストーン1つにつき、{magic_icon}の獲得量が{percent_increase}%増加します
relic.ouroboros,ウロボロス
relic.ouroboros.tooltip,ウロボロス1つにつき、{knowledge_icon}の獲得量が{knowledge_increase}%、ドラゴンEXPの獲得量が{dragon_exp_increase}%増加します
relic.philosopher_stone,賢者の石
relic.philosopher_stone.tooltip,賢者の石1つにつき、{knowledge_icon}の獲得量が{knowledge_increase}%、{magic_icon}の獲得量が{magic_increase}%増加します
resource.blank_rune,空のルーン
resource.blank_rune_description,ルーンスミスにより生成
resource.building_points,建物ポイント
resource.building_points_description,タワーが昇格するたびに一定量を獲得。
resource.cognite,コグナイト
resource.cosmic_analysis,宇宙分析
resource.cosmic_analysis_description,天文台で購入
resource.cosmic_dust,コズミックダスト
resource.cosmic_dust_description,寺院にて、宇宙の壁へのダメージにより生成
resource.dragon_ability_points,ドラゴンアビリティポイント
resource.dragon_ability_points_description,ドラゴンのレベルアップで獲得
resource.dragonite,ドラゴナイト
resource.holy_grail,聖杯
resource.knowledge,知識
resource.knowledge_description,スピリット・トームにより生成
resource.magic,魔力
resource.magic_description,クラウドリングにより生成
resource.magic_gold,マジックゴールド
resource.magic_gold_description,錬金術師により生成
resource.mana_stone,マナストーン
resource.ouroboros,ウロボロス
resource.philosopher_stone,賢者の石
resource.spirits,スピリット
resource.spirits_description,オーブで購入
resource.totems,トーテム
resource.totems_description,林業ポータルで購入
resource.trade_agreements,貿易協定
resource.trade_agreements_description,外交官により生成
resource.wood,木材
resource.wood_description,ドルイドにより伐採
skill.alchemy_lab,錬金術ラボ
skill.alchemy_lab.tooltip,{training}の経験値獲得量が{percent_increase}%増加します
skill.analyze_cursed,呪いの壁の分析
skill.analyze_cursed.tooltip,「呪い」の基礎ダメージが{percent_increase}%増加します
skill.analyze_molten,溶融の壁の分析
skill.analyze_molten.tooltip,「溶融」の付与量が{percent_increase}%増加します
skill.analyze_resonance,粉砕の壁の分析
skill.analyze_resonance.tooltip,「粉砕」の付与量が{percent_increase}%増加します
skill.analyze_wall,壁の分析
skill.analyze_wall.tooltip,"宇宙の壁を分析し、破壊に必要なリソースを解放しましょう。

- 要件はオーブに表示されます。"
skill.analyze_weakened,弱体化の壁の分析
skill.analyze_weakened.tooltip,「弱体化」の付与量が{percent_increase}%増加します
skill.bigger_forest,森林拡大
skill.bigger_forest_2,ドルイドパワー
skill.bigger_forest_2.tooltip,{wood_icon}の獲得量が{percent_increase}%増加します
skill.bigger_forest.tooltip,"森林の面積を拡大します。

- 丸太1本から得られる{wood_icon}の量が{percent_increase}%増加します"
skill.build_academy,アカデミー建設
skill.build_academy.tooltip,魔法教育のためのアカデミーを建設する
skill.build_book_house,書見の家を建てる
skill.build_book_house.tooltip,書見の家は、合計で{knowledge_icon}の獲得量を{percent_increase}%の複利で増加させます
skill.build_dragon_nest,ドラゴンネスト建設
skill.build_dragon_nest.tooltip,ドラゴンネストを建設し、ドラゴンを孵化させましょう
skill.build_embassy,大使館建設
skill.build_embassy.tooltip,大使館を建設し、国際関係を築きましょう
skill.build_house,スピリットハウスを建てる
skill.build_house.tooltip,"スピリットハウスは、合計で{magic_icon}の獲得量を{percent_increase}%の複利で増加させます

- タワーが昇格するたびに一定量の{building_points_icon}を獲得します"
skill.build_tree_house,ツリーハウスを建てる
skill.build_tree_house.tooltip,ツリーハウスは、合計で{wood_icon}の獲得量を{percent_increase}%の複利で増加させます
skill.carve_crafting_totem,製作のトーテム
skill.carve_crafting_totem.tooltip,"トーテム1つにつき、{blank_rune_icon}と{magic_gold_icon}の生成進行度が{percent_increase}%増加します。

- 現在のボーナス: {total}%"
skill.carve_forest_totem,森のトーテム
skill.carve_forest_totem.tooltip,"トーテム1つにつき、{wood_icon}の獲得量が{percent_increase}%増加します

- 現在のボーナス: {total}%

- さらに、{amount}体の{spirit_icon}を生成します"
skill.carve_knowledge_totem,知識のトーテム
skill.carve_knowledge_totem.tooltip,"トーテム1つにつき、{knowledge_icon}の獲得量が{percent_increase}%増加します。

- 現在のボーナス: {total}%"
skill.carve_magic_totem,魔力のトーテム
skill.carve_magic_totem.tooltip,"トーテム1つにつき、{magic_icon}の獲得量が{percent_increase}%増加します。

- 現在のボーナス: {total}%"
skill.carve_sage_totem,賢者のトーテム
skill.carve_sage_totem.tooltip,"トーテム1つにつき、アカデミーEXPの獲得量が{percent_increase}%の複利で増加します。

- 現在のボーナス: {total}%"
skill.cloud_resonance,クラウドレゾナンス
skill.cloud_resonance.tooltip,ドラゴンがマジックブレスを吐くたびに、全てのクラウドリングが魔力の雫を1滴生成します
skill.cloudling_magic,クラウドリング・マジック
skill.cloudling_potency,クラウドリングブースト
skill.cloudling_potency.tooltip,クラウドリングの{magic_icon}生成量が{percent_increase}%増加します
skill.combat_magic,戦闘魔術
skill.combat_magic.tooltip,全てのダメージが{percent_increase}%増加します
skill.craft_totem,トーテム製作
skill.craft_totem.tooltip,{totem_icon}を製作します。トーテムは様々な種類に彫刻し、トーテムポールに設置することで多様なボーナスを得られます。
skill.create_cosmic_analysis,宇宙分析の作成
skill.create_cosmic_analysis.tooltip,分析アップグレードに使える宇宙分析を1つ作成します。
skill.dragon_alphabet,ドラゴン・アルファベット
skill.dragon_alphabet.tooltip,{training}の経験値獲得量が{percent_increase}%増加します
skill.dragon_wisdom,ドラゴンの知識
skill.dragon_wisdom.tooltip,ドラゴンキーパーのEXP獲得量が{percent_increase}%増加します
skill.enchant_frost,フロストウォール・エンチャント
skill.enchant_frost.tooltip,"「フロスト」のスタックごとに{wood_icon}の獲得量が{percent_increase}%増加します

- さらに、{cosmic_dust_icon}の生成速度が{cosmic_percent_increase}%増加します"
skill.enchant_molten,溶融ウォール・エンチャント
skill.enchant_molten.tooltip,"「溶融」のスタックごとにドラゴンEXPの獲得量が{percent_increase}%増加します

- さらに、{cosmic_dust_icon}の生成速度が{cosmic_percent_increase}%増加します"
skill.enchant_shatter,粉砕ウォール・エンチャント
